Time (s),Voltage,Current
395.0362231731415,3.63636,-0.195093
396.12239480018616,3.63635,-0.195088
397.2151553630829,3.63638,-0.195117
398.3078308105469,3.63634,-0.195104
399.40007162094116,3.63631,-0.195178
400.486608505249,3.63626,-0.195079
401.5733382701874,3.63621,-0.195104
402.6634302139282,3.63623,-0.195137
403.75391387939453,3.63619,-0.19513
404.8484318256378,3.63623,-0.195087
405.93890476226807,3.63617,-0.195088
407.0280704498291,3.63614,-0.19509
408.11437368392944,3.63617,-0.195162
409.20916724205017,3.63611,-0.195036
410.2975835800171,3.63608,-0.195148
411.3865885734558,3.63607,-0.19511
412.47770619392395,3.63604,-0.195058
413.5743873119354,3.63601,-0.195168
414.66739416122437,3.63603,-0.19513
415.76387667655945,3.63599,-0.195097
416.8509294986725,3.63603,-0.195158
417.9419388771057,3.63596,-0.195097
419.0278606414795,3.63593,-0.195112
420.1201000213623,3.63593,-0.195134
421.21762442588806,3.6359,-0.1951
422.30779218673706,3.63586,-0.195171
423.396027803421,3.63584,-0.195071
424.48432874679565,3.63587,-0.195133
425.5776755809784,3.63581,-0.195137
426.66934609413147,3.63583,-0.195117
427.7573184967041,3.63577,-0.19511
428.8480215072632,3.63576,-0.195026
429.9430935382843,3.63572,-0.195118
431.034464597702,3.63573,-0.195033
432.12395334243774,3.63571,-0.195143
433.22086453437805,3.6357,-0.195066
434.30929255485535,3.63564,-0.195144
435.3989939689636,3.63563,-0.195075
436.4890353679657,3.63563,-0.195138
437.585786819458,3.63558,-0.195061
438.67528009414673,3.63557,-0.195114
439.76174211502075,3.63559,-0.195074
440.8537015914917,3.63557,-0.195066
441.94894790649414,3.63549,-0.195169
443.0405316352844,3.63552,-0.19513
444.1311140060425,3.63546,-0.195099
445.2267322540283,3.63553,-0.195094
446.3179738521576,3.63544,-0.195046
447.4087543487549,3.63544,-0.195124
448.50392174720764,3.63539,-0.195088
449.5952594280243,3.63537,-0.19521
450.6822392940521,3.63534,-0.195079
451.77234625816345,3.63535,-0.195109
452.8638184070587,3.63532,-0.195107
453.95386147499084,3.63525,-0.195082
455.04228496551514,3.63531,-0.195122
456.12935304641724,3.63526,-0.195115
457.2174117565155,3.63525,-0.195091
458.30739164352417,3.63524,-0.195039
459.3953652381897,3.63521,-0.195122
460.4814467430115,3.63517,-0.195101
461.572478055954,3.63515,-0.195058
462.6682505607605,3.63516,-0.195158
463.7542791366577,3.63512,-0.195058
464.84447836875916,3.63514,-0.195099
465.9355700016022,3.63506,-0.195164
467.0339095592499,3.63511,-0.195088
468.12356662750244,3.63506,-0.195006
469.2107455730438,3.63503,-0.195127
470.3107876777649,3.63498,-0.195139
471.398423910141,3.63502,-0.195177
472.4876012802124,3.63494,-0.195096
473.5777711868286,3.6349,-0.195089
474.674480676651,3.63492,-0.195116
475.7666459083557,3.63491,-0.195139
476.86492586135864,3.63488,-0.195118
477.951651096344,3.63485,-0.195159
479.04245018959045,3.6348,-0.195112
480.12971234321594,3.63479,-0.195108
481.21680450439453,3.63478,-0.195191
482.30776929855347,3.63475,-0.195087
483.40430307388306,3.63479,-0.195119
484.49650979042053,3.63471,-0.195061
485.5869815349579,3.63473,-0.195101
486.6803526878357,3.63473,-0.195126
487.77128195762634,3.63473,-0.195105
488.85989475250244,3.63464,-0.195085
489.95822525024414,3.63464,-0.195066
491.04678893089294,3.63462,-0.195057
492.1339988708496,3.63465,-0.195145
493.22593092918396,3.63459,-0.195131
494.316401720047,3.63458,-0.195061
495.40955114364624,3.63457,-0.195139
496.5014386177063,3.63453,-0.195107
497.59305453300476,3.63452,-0.195121
498.6907935142517,3.63452,-0.195096
499.77838492393494,3.63447,-0.195078
500.8690016269684,3.63444,-0.195095
501.95998668670654,3.63442,-0.19514
503.0548460483551,3.63441,-0.195113
504.1443758010864,3.63438,-0.195134
505.2320625782013,3.63438,-0.19514
506.3199439048767,3.63432,-0.195058
507.4071750640869,3.63433,-0.195137
508.49814653396606,3.63434,-0.195115
509.59399938583374,3.63429,-0.195077
510.68539214134216,3.63427,-0.195061
511.77614068984985,3.63429,-0.195093
512.8719069957733,3.6342,-0.19513
513.96120262146,3.63425,-0.195112
515.0490386486053,3.63419,-0.195106
516.1360363960266,3.63414,-0.195046
517.2220711708069,3.63417,-0.195066
518.3090472221375,3.63412,-0.195089
519.397120475769,3.63414,-0.19514
520.4863872528076,3.6341,-0.195118
521.5762476921082,3.63404,-0.195071
522.6710207462311,3.63402,-0.195145
523.76189661026,3.63407,-0.195075
524.8534231185913,3.63398,-0.195106
525.9506030082703,3.63401,-0.195079
527.0419907569885,3.63398,-0.195105
528.1326863765717,3.63399,-0.195076
529.2278199195862,3.63389,-0.195077
530.3156824111938,3.63395,-0.195092
531.4024822711945,3.63393,-0.195148
532.4924383163452,3.6339,-0.195105
533.5785663127899,3.63383,-0.195012
534.6655883789062,3.63385,-0.195133
535.7626373767853,3.63381,-0.195165
536.8540585041046,3.63382,-0.19514
537.94362616539,3.63377,-0.195073
539.03449177742,3.63378,-0.195117
540.1284232139587,3.63376,-0.195169
541.2181179523468,3.63374,-0.195096
542.3134787082672,3.63368,-0.195113
543.4045717716217,3.63372,-0.195109
544.4947562217712,3.63365,-0.195124
545.5858190059662,3.63366,-0.195057
546.6810653209686,3.63361,-0.195134
547.7691876888275,3.63361,-0.195062
548.8604624271393,3.63357,-0.195123
549.949943780899,3.63359,-0.195115
551.0444219112396,3.63355,-0.195164
552.1343235969543,3.63351,-0.195058
553.2223153114319,3.63351,-0.195144
554.3098146915436,3.63353,-0.195084
555.4031233787537,3.6335,-0.195136
556.4975125789642,3.63345,-0.195135
557.5855441093445,3.6334,-0.195102
558.6757924556732,3.63347,-0.195063
559.7639961242676,3.6334,-0.195125
560.8540410995483,3.63339,-0.195021
561.9506659507751,3.6334,-0.195147
563.0411152839661,3.63338,-0.195083
564.1344799995422,3.63331,-0.195132
565.2262103557587,3.63333,-0.195066
566.3127796649933,3.6333,-0.195187
567.3989543914795,3.63325,-0.195122
568.489091873169,3.6332,-0.195078
569.5761210918427,3.63323,-0.195111
570.664053440094,3.63325,-0.195191
571.7512772083282,3.63317,-0.19507
572.8422696590424,3.63317,-0.19507
573.936051607132,3.63314,-0.195177
575.0234878063202,3.6331,-0.195139
576.1122434139252,3.6331,-0.195163
577.2020428180695,3.63304,-0.195138
578.2979481220245,3.63309,-0.195091
579.3871817588806,3.633,-0.195133
580.4843740463257,3.63306,-0.195064
581.5749876499176,3.633,-0.195061
582.6643400192261,3.63306,-0.195121
583.7503097057343,3.63294,-0.195134
584.8403780460358,3.63294,-0.195096
585.937150478363,3.63294,-0.195131
587.0283169746399,3.63295,-0.195087
588.1160728931427,3.63291,-0.195098
589.204794883728,3.63287,-0.195034
590.2935075759888,3.63285,-0.195097
591.3883798122406,3.6328,-0.195166
592.4787867069244,3.63281,-0.195079
593.569436788559,3.63279,-0.195182
594.666294336319,3.63278,-0.195077
595.7553985118866,3.63273,-0.195066
596.8457634449005,3.63273,-0.195031
597.9401926994324,3.6327,-0.195145
599.0296177864075,3.63269,-0.195052
600.1173441410065,3.63271,-0.195198
601.203372001648,3.63264,-0.19509
602.3034174442291,3.63266,-0.195104
603.3927805423737,3.63262,-0.195082
604.4801197052002,3.63259,-0.19512
605.5689029693604,3.63259,-0.195145
606.6588294506073,3.63256,-0.195106
607.757078409195,3.63254,-0.195101
608.8467042446136,3.63248,-0.195018
609.9327273368835,3.63249,-0.195176
611.0325267314911,3.63243,-0.195171
612.1216771602631,3.63247,-0.195166
613.2088415622711,3.63241,-0.195089
614.2999274730682,3.6324,-0.195073
615.3957190513611,3.63235,-0.19518
616.487869977951,3.63242,-0.195155
617.5793285369873,3.63233,-0.195084
618.6712465286255,3.63238,-0.195123
619.7593879699707,3.63227,-0.195087
620.8469083309174,3.63229,-0.195082
621.9385974407196,3.63232,-0.195137
623.0301783084869,3.63226,-0.195043
624.122279882431,3.63225,-0.195086
625.2129144668579,3.63221,-0.195122
626.3124220371246,3.63222,-0.195194
627.4017379283905,3.63216,-0.195106
628.4889917373657,3.63222,-0.195177
629.5815806388855,3.63208,-0.19518
630.6753263473511,3.63216,-0.195106
631.7658216953278,3.63204,-0.19512
632.8570079803467,3.63208,-0.195043
633.9504890441895,3.63204,-0.195112
635.0416915416718,3.63203,-0.195131
636.1301002502441,3.632,-0.195113
637.2178709506989,3.63199,-0.19508
638.3052899837494,3.63199,-0.19514
639.3951530456543,3.63196,-0.195156
640.491096496582,3.63194,-0.195068
641.5784332752228,3.63197,-0.195143
642.6709771156311,3.63189,-0.195055
643.7669219970703,3.6319,-0.195174
644.8561823368073,3.63186,-0.195146
645.9422829151154,3.63186,-0.195152
647.0313696861267,3.63186,-0.195136
648.1222350597382,3.63178,-0.195067
649.2159540653229,3.63181,-0.195117
650.3028445243835,3.63178,-0.195039
651.3944041728973,3.63178,-0.195069
652.484307050705,3.63174,-0.195166
653.5795466899872,3.63174,-0.195081
654.669356584549,3.6317,-0.195143
655.7604649066925,3.63167,-0.195081
656.8566477298737,3.63166,-0.19515
657.9465453624725,3.63162,-0.195094
659.0373725891113,3.63166,-0.195146
660.1307744979858,3.63162,-0.195077
661.2185139656067,3.6316,-0.195113
662.3072338104248,3.63155,-0.195073
663.3970584869385,3.63158,-0.195065
664.4881265163422,3.63153,-0.195141
665.5756027698517,3.63154,-0.195042
666.6731081008911,3.6315,-0.195127
667.7625141143799,3.63149,-0.195055
668.8536024093628,3.63149,-0.195168
669.9444704055786,3.63141,-0.195105
671.0414593219757,3.6314,-0.195108
672.1290740966797,3.63138,-0.195068
673.2157459259033,3.6314,-0.195096
674.3067238330841,3.63136,-0.19514
675.3979277610779,3.63134,-0.195047
676.4935412406921,3.63131,-0.19515
677.5858285427094,3.63133,-0.195103
678.6832115650177,3.63129,-0.195057
679.7767567634583,3.6313,-0.195168
680.872730255127,3.63128,-0.195045
681.9621226787567,3.63123,-0.195065
683.048743724823,3.63121,-0.195137
684.1398921012878,3.63122,-0.195163
685.2313499450684,3.63119,-0.195084
686.3256645202637,3.63119,-0.19514
687.416362285614,3.6311,-0.19507
688.5059359073639,3.63113,-0.195147
689.5929927825928,3.6311,-0.1951
690.683985710144,3.63109,-0.195047
691.7801761627197,3.63107,-0.195143
692.8679645061493,3.63105,-0.195066
693.9570009708405,3.63105,-0.195138
695.045960187912,3.63101,-0.195061
696.1419417858124,3.63102,-0.195117
697.2279441356659,3.63096,-0.195088
698.3180577754974,3.63096,-0.195004
699.4061455726624,3.63097,-0.195166
700.497015953064,3.63091,-0.195139
701.5938546657562,3.63095,-0.195087
702.6845285892487,3.63089,-0.195089
703.7771592140198,3.63086,-0.195126
704.8719878196716,3.63086,-0.195069
705.9581270217896,3.63084,-0.195165
707.048810005188,3.63078,-0.195129
708.1402554512024,3.63084,-0.195108
709.2364792823792,3.63076,-0.195148
710.3262231349945,3.63078,-0.195138
711.4148480892181,3.63072,-0.195099
712.5061988830566,3.63075,-0.195135
713.6011881828308,3.63069,-0.195141
714.689644575119,3.63069,-0.195146
715.7800378799438,3.63066,-0.195112
716.866984128952,3.63062,-0.195054
717.9599320888519,3.63065,-0.195107
719.0552098751068,3.63058,-0.19511
720.1453416347504,3.63062,-0.195128
721.2384357452393,3.63055,-0.19508
722.3335263729095,3.63057,-0.195154
723.4244847297668,3.63052,-0.195081
724.5142974853516,3.63052,-0.195158
725.602306842804,3.6305,-0.195049
726.6999273300171,3.63053,-0.195132
727.7896106243134,3.63053,-0.195025
728.8882722854614,3.63043,-0.19512
729.9784421920776,3.63044,-0.195103
731.0685729980469,3.63043,-0.195114
732.155615568161,3.63035,-0.19508
733.2436242103577,3.63039,-0.195076
734.3339457511902,3.63038,-0.195111
735.4304773807526,3.63036,-0.195022
736.5206828117371,3.63031,-0.195037
737.6076776981354,3.63033,-0.195084
738.6991536617279,3.63032,-0.195123
739.7902207374573,3.63025,-0.195064
740.8824372291565,3.63029,-0.195135
741.9701890945435,3.63022,-0.195069
743.0577027797699,3.6302,-0.195089
744.1488852500916,3.63022,-0.195125
745.2456066608429,3.63017,-0.195058
746.331702709198,3.63017,-0.195124
747.4248421192169,3.63017,-0.195093
748.5148491859436,3.63016,-0.19511
749.6060814857483,3.63011,-0.195166
750.6930668354034,3.63008,-0.195061
751.7797482013702,3.6301,-0.195193
752.8657824993134,3.63008,-0.195122
753.9558777809143,3.62999,-0.195117
755.0469501018524,3.63004,-0.195128
756.1407389640808,3.62994,-0.195189
757.2288241386414,3.62994,-0.195107
758.3174264431,3.62999,-0.195165
759.4172496795654,3.62997,-0.195082
760.5070943832397,3.62992,-0.195093
761.5970592498779,3.62996,-0.195073
762.6892766952515,3.62988,-0.195128
763.778970003128,3.62991,-0.195111
764.8672955036163,3.62982,-0.195141
765.9564599990845,3.62982,-0.195115
767.0518095493317,3.6298,-0.195092
768.1448359489441,3.62977,-0.195087
769.2339904308319,3.62982,-0.195122
770.3210172653198,3.62974,-0.195101
771.4090301990509,3.6297,-0.195053
772.500111579895,3.62974,-0.195096
773.5979046821594,3.62969,-0.195052
774.6863768100739,3.62972,-0.195167
775.7724919319153,3.62971,-0.195103
776.8600006103516,3.62963,-0.19507
777.9457132816315,3.62961,-0.195088
779.0328733921051,3.62964,-0.195138
780.1228637695312,3.62963,-0.19515
781.2144212722778,3.62957,-0.195106
782.310949087143,3.6296,-0.195112
783.404444694519,3.62956,-0.195052
784.4948468208313,3.62953,-0.19515
785.5907003879547,3.62951,-0.195089
786.6805248260498,3.62947,-0.195096
787.7721455097198,3.62949,-0.195126
788.8633508682251,3.62946,-0.195171
789.9534094333649,3.62946,-0.195071
791.0441584587097,3.62944,-0.195148
792.1340157985687,3.62939,-0.195076
793.2294421195984,3.62938,-0.195117
794.315592288971,3.62936,-0.195076
